 No. HEX       Stitches
----------------------------
   1 #BD9662     1114
   2 #BEA57D     1047
   3 #7B684F      978
   4 #977955      946
   5 #BFAC8A      935
   6 #534C41      935
   7 #7E8486      913
   8 #D2A463      879
   9 #695E4D      874
  10 #B4A486      864
  11 #A98458      854
  12 #57544A      844
  13 #898B87      822
  14 #828989      817
  15 #9C825D      774
  16 #8C8E8A      745
  17 #D3AD72      722
  18 #AAA18E      716
  19 #B09166      708
  20 #CE9855      701
  21 #949188      691
  22 #9F9A8D      686
  23 #706654      683
  24 #BD844C      678
  25 #8C6B4A      677
  26 #655745      668
  27 #DCBA7E      589
  28 #97968C      587
  29 #9D9689      571
  30 #AA9C82      543
  31 #D3B37E      539
  32 #867760      458
  33 #41382E      434
  34 #EDCE89      278
----------------------------
25270 stitches, 34 colours
